,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,MetrDist,N,NFloor,New,Price,Tel,Totsp,URL,Walk,lat,lon,rooms
0,0,1,0.02366558568893194,0,3,"22,7","104,2",5,1,6,1,140670000,None,"104,2",150768577,0,55.742772,37.598043,2
1,0,0,0.015393071980596473,0,3,20,65,5,2,6,0,41539810,0,117,151034705,1,55.766749,37.628631,3
2,0,0,0.026514158953289242,0,2,None,None,15,3,8,0,234530831,None,"237,4",2914021,1,55.736458,37.599678,4
3,0,0,0.057707122610640774,0,3,None,"22,7",6,4,None,1,4403057,None,"22,7",149031353,1,55.775753,37.671938,1
4,0,0,0.057707122610640774,0,2,None,"17,3",6,5,None,1,4585315,None,"17,3",149031259,1,55.775753,37.671938,1
5,0,1,0.057707122610640774,0,2,None,10,6,6,5,1,4814581,None,"17,3",151004941,1,55.775753,37.671938,1
6,0,1,0.05810663254740802,0,2,None,"17,3",5,7,6,0,4814581,0,"17,3",150346368,1,55.776294,37.672163,1
7,0,0,0.014143262600973247,0,3,None,160,5,8,7,0,5220000,None,261,151031275,1,55.742154,37.621372,5
8,0,1,0.057707122610640774,0,5,None,10,6,9,5,1,5377566,None,"18,3",151004981,1,55.775753,37.671938,1
9,0,0,0.057707122610640774,0,5,None,"18,3",6,10,None,1,5377566,None,"18,3",149031321,1,55.775753,37.671938,1
10,0,1,0.05810663254740802,0,2,None,"23,7",5,11,6,0,5496232,0,"23,7",148794719,1,55.776294,37.672163,1
11,0,0,0.061116985527758856,0,1,7,20,4,12,9,0,5500000,1,32,150640194,1,55.730101,37.673214,1
12,1,0,0.07400648144588287,0,1,"9,6",20,10,13,1,0,5550000,None,"37,4",149565205,1,55.775793,37.689042,1
13,0,1,0.014143262600973247,0,2,None,157,5,14,7,0,5800850,None,"291,5",151031063,1,55.742154,37.621372,5
14,1,1,0.0953024350685744,0,3,6,16,1,15,5,0,5999000,1,30,149849414,None,55.756356,37.522477,1
15,0,1,0.07910188318870817,0,5,6,20,10,16,5,0,6000000,None,32,145609912,1,55.764551,37.539158,1
16,0,0,0.09481155686940304,0,1,10,20,13,17,12,0,6000000,None,35,149300855,1,55.753387,37.522998,1
17,1,0,0.0621404180385028,0,12,"9,6","20,1",10,18,12,0,6000000,1,"35,1",149788538,0,55.737988,37.677301,1
18,1,1,0.06080563069321689,0,2,8,21,12,19,5,0,6100000,1,34,148112883,1,55.770613,37.558796,1
19,1,0,0.0621404180385028,0,12,10,20,10,20,12,0,6100000,1,36,149727197,1,55.737988,37.677301,1
20,0,1,0.057707122610640774,0,4,None,15,6,21,4,1,6258687,None,"25,5",151005044,1,55.775753,37.671938,1
21,0,0,0.07104159177552227,0,1,8,18,12,22,4,0,6300000,1,35,150463857,0,55.778522,37.685099,1
22,0,1,0.057707122610640774,0,3,None,17,6,23,4,1,6325576,None,30,151005116,1,55.775753,37.671938,1
23,0,1,0.05805263202473967,0,3,None,"29,5",5,24,6,0,6325576,0,"29,5",148800467,1,55.775824,37.67228,1
24,0,1,0.057707122610640774,0,3,None,18,6,25,4,1,6437035,None,"33,5",151005216,1,55.775753,37.671938,1
25,0,1,0.057707122610640774,0,4,None,16,6,26,4,1,6449418,None,"28,5",151005085,1,55.775753,37.671938,1
26,0,0,0.057707122610640774,0,3,None,"28,2",6,27,None,1,6467402,None,"28,2",149031349,1,55.775753,37.671938,1
27,0,1,0.09593528727741824,0,2,6,"20,5",11,28,5,0,6500000,1,"36,8",140980631,1,55.751361,37.521947,1
28,0,0,0.022855792176163015,0,3,None,None,7,29,7,0,223077400,None,"152,9",145111197,1,55.764723,37.596722,3
29,1,1,0.06041971386889866,0,2,"8,5","24,8",5,30,13,1,14558000,None,"50,2",150699780,1,55.742073,37.67661,2
30,1,1,0.042080887181715994,0,5,8,29,5,31,10,0,26000000,1,"54,8",150854816,1,55.727612,37.586563,2
31,0,0,0.057707122610640774,0,4,None,"28,1",6,32,None,1,6577730,None,"28,1",149031376,1,55.775753,37.671938,1
32,1,1,0.06437270721353716,0,5,6,18,5,33,9,0,6600000,None,"33,1",150679023,1,55.73003,37.676753,2
